Episode,Difficulty,DifficultyName,Reward,WindowAvg
1,1,EASY,0.3162,0.3162
2,1,EASY,0.5453,0.4307
3,1,EASY,0.5393,0.4669
4,1,EASY,0.5485,0.4873
5,1,EASY,0.5727,0.5044
6,1,EASY,0.5483,0.5117
7,1,EASY,0.528,0.514
8,1,EASY,0.5476,0.5182
9,1,EASY,0.5862,0.5258
10,1,EASY,0.4906,0.5223
11,1,EASY,0.5557,0.5253
12,1,EASY,0.5746,0.5294
13,1,EASY,0.4732,0.5251
14,1,EASY,0.5472,0.5267
15,1,EASY,0.5568,0.5287
16,1,EASY,0.4326,0.5227
17,1,EASY,0.5386,0.5236
18,1,EASY,0.55,0.5251
19,1,EASY,0.5549,0.5266
20,1,EASY,0.4937,0.525
21,1,EASY,0.4801,0.5229
22,1,EASY,0.3979,0.5172
23,1,EASY,0.5293,0.5177
24,1,EASY,0.5576,0.5194
25,1,EASY,0.5639,0.5211
26,1,EASY,0.5436,0.522
27,1,EASY,0.5113,0.5216
28,1,EASY,0.4822,0.5202
29,1,EASY,0.5271,0.5204
30,1,EASY,0.4122,0.5168
31,1,EASY,0.5447,0.5177
32,1,EASY,0.4571,0.5158
33,1,EASY,0.6424,0.5197
34,1,EASY,0.5834,0.5215
35,1,EASY,0.5281,0.5217
36,1,EASY,0.5638,0.5229
37,1,EASY,0.4013,0.5196
38,1,EASY,0.5329,0.52
39,1,EASY,0.5556,0.5209
40,1,EASY,0.5722,0.5222
41,1,EASY,0.5269,0.5223
42,1,EASY,0.4369,0.5202
43,1,EASY,0.5456,0.5208
44,1,EASY,0.5326,0.5211
45,1,EASY,0.55,0.5217
46,1,EASY,0.492,0.5211
47,1,EASY,0.4276,0.5191
48,1,EASY,0.538,0.5195
49,1,EASY,0.5661,0.5204
50,1,EASY,0.4724,0.5195
51,1,EASY,0.5318,0.5238
52,1,EASY,0.5235,0.5234
53,1,EASY,0.3791,0.5202
54,1,EASY,0.4065,0.5173
55,1,EASY,0.5594,0.5171
56,1,EASY,0.5132,0.5164
57,1,EASY,0.544,0.5167
58,1,EASY,0.5244,0.5162
59,1,EASY,0.3845,0.5122
60,1,EASY,0.4001,0.5104
61,1,EASY,0.4776,0.5088
62,1,EASY,0.3668,0.5047
63,1,EASY,0.5779,0.5067
64,1,EASY,0.3693,0.5032
65,1,EASY,0.4751,0.5016
66,1,EASY,0.5668,0.5042
67,1,EASY,0.5616,0.5047
68,1,EASY,0.4211,0.5021
69,1,EASY,0.6544,0.5041
70,1,EASY,0.5541,0.5053
71,1,EASY,0.5013,0.5057
72,1,EASY,0.5541,0.5089
73,1,EASY,0.3689,0.5057
74,1,EASY,0.5716,0.5059
75,1,EASY,0.475,0.5042
76,1,EASY,0.6164,0.5056
77,1,EASY,0.5787,0.507
78,1,EASY,0.5431,0.5082
79,1,EASY,0.4713,0.5071
80,1,EASY,0.3808,0.5064
81,1,EASY,0.4769,0.5051
82,1,EASY,0.38,0.5035
83,1,EASY,0.5859,0.5024
84,1,EASY,0.5606,0.502
85,1,EASY,0.6519,0.5044
86,1,EASY,0.4191,0.5015
87,1,EASY,0.2934,0.4994
88,1,EASY,0.4136,0.497
89,1,EASY,0.5497,0.4969
90,1,EASY,0.5633,0.4967
91,1,EASY,0.5552,0.4973
92,1,EASY,0.5554,0.4996
93,1,EASY,0.5732,0.5002
94,1,EASY,0.656,0.5027
95,1,EASY,0.4015,0.4997
96,1,EASY,0.6507,0.5029
97,1,EASY,0.5419,0.5051
98,1,EASY,0.3368,0.5011
99,1,EASY,0.5392,0.5006
100,1,EASY,0.536,0.5019
101,1,EASY,0.5479,0.5022
102,1,EASY,0.5677,0.5031
103,1,EASY,0.3766,0.503
104,1,EASY,0.5513,0.5059
